KIT ID Number,Borough,Zipcode,Date Collected,Received Date,First Draw at-the-tap Lead level (µg/l),First Draw at-the-tap copper level (mg/l)
20169690,STATEN ISLAND,10314,06/08/2020,06/11/2020,2,0.119
20169931,STATEN ISLAND,10310,06/08/2020,06/11/2020,4,0.098
20169883,STATEN ISLAND,10309,06/08/2020,06/10/2020,11,0.105
20170124,STATEN ISLAND,10309,06/08/2020,06/11/2020,0,0.117
20169911,QUEENS,11361,06/08/2020,06/11/2020,2,0.48
20170174,BROOKLYN,11214,06/08/2020,06/10/2020,4,0.142
20170004,BROOKLYN,11234,06/08/2020,06/10/2020,7,0.139
20170028,STATEN ISLAND,10306,06/08/2020,06/11/2020,0,0.044
20169748,STATEN ISLAND,10309,06/08/2020,06/12/2020,0,0.144
20170080,STATEN ISLAND,10308,06/08/2020,06/12/2020,0,0.16
20169712,BROOKLYN,11226,06/08/2020,06/10/2020,3,0.186
20169825,QUEENS,11361,06/08/2020,06/15/2020,2,0.1
20169981,STATEN ISLAND,10308,06/08/2020,06/12/2020,0,0.182
20169787,QUEENS,11691,06/08/2020,06/11/2020,0,0.059
20170041,BROOKLYN,11211,06/08/2020,06/11/2020,2,0.135
20170109,QUEENS,11385,06/08/2020,06/10/2020,2,0.02
20170056,QUEENS,11357,06/08/2020,06/10/2020,5,0.13
20169722,QUEENS,11378,06/08/2020,06/10/2020,5,0.141
20170105,STATEN ISLAND,10310,06/08/2020,06/16/2020,2,0.161
20170134,BRONX,10463,06/08/2020,06/17/2020,6,0.031
20169908,QUEENS,11375,06/08/2020,06/10/2020,2,0.142
20169941,BROOKLYN,11225,06/08/2020,06/15/2020,9,0.046
20170113,STATEN ISLAND,10303,06/08/2020,06/11/2020,0,0.14
20169918,STATEN ISLAND,10314,06/08/2020,06/10/2020,1,0.132
20169985,STATEN ISLAND,10312,06/08/2020,06/16/2020,2,0.152
20169849,BROOKLYN,11212,06/08/2020,06/10/2020,4,0.138
20169859,BROOKLYN,11223,06/08/2020,06/11/2020,5,0.064
20169895,BROOKLYN,11224,06/08/2020,06/10/2020,0,0.105
20170077,STATEN ISLAND,10306,06/08/2020,06/17/2020,0,0.118
20169732,STATEN ISLAND,10307,06/08/2020,06/12/2020,5,0.055
20170100,QUEENS,11358,06/08/2020,06/10/2020,5,0.114
20169830,STATEN ISLAND,10304,06/08/2020,06/10/2020,11,0.078
20170131,STATEN ISLAND,10309,06/08/2020,06/11/2020,0,0.143
20169818,QUEENS,11375,06/08/2020,06/11/2020,10,0.156
20169979,STATEN ISLAND,10306,06/08/2020,06/10/2020,0,0.163
20169850,BROOKLYN,11218,06/08/2020,06/10/2020,12,0.056
20169879,STATEN ISLAND,10308,06/08/2020,06/15/2020,1,0.165
20169942,BROOKLYN,11233,06/08/2020,06/17/2020,2,0.334
20169973,STATEN ISLAND,10306,06/08/2020,06/11/2020,4,0.168
20169809,BROOKLYN,11228,06/08/2020,06/11/2020,5,0.208
20169788,QUEENS,11691,06/08/2020,06/19/2020,0,0.177
20170110,QUEENS,11365,06/08/2020,06/15/2020,1,0.284
20170015,QUEENS,11691,06/09/2020,06/11/2020,0,0.336
20170128,STATEN ISLAND,10309,06/09/2020,06/15/2020,1,0.117
20169700,STATEN ISLAND,10308,06/09/2020,06/11/2020,2,0.119
20170000,BROOKLYN,11234,06/09/2020,06/19/2020,3,0.133
20169735,STATEN ISLAND,10314,06/09/2020,06/11/2020,2,0.146
20169794,STATEN ISLAND,10312,06/09/2020,06/11/2020,0,0.114
20169920,BROOKLYN,11217,06/09/2020,06/17/2020,3,0.171
20169921,STATEN ISLAND,10314,06/09/2020,06/15/2020,0,0.218
20170023,STATEN ISLAND,10314,06/09/2020,06/12/2020,0,0.169
20169922,STATEN ISLAND,10304,06/09/2020,06/11/2020,0,0.057
20169878,STATEN ISLAND,10308,06/09/2020,06/15/2020,0,0.106
20169898,BRONX,10461,06/09/2020,06/12/2020,7,0.116
20169980,STATEN ISLAND,10306,06/09/2020,06/15/2020,0,0.184
20169717,BRONX,10471,06/09/2020,06/12/2020,1,0.108
20170084,STATEN ISLAND,10312,06/09/2020,06/11/2020,1,0.237
20169857,BROOKLYN,11234,06/09/2020,06/15/2020,14,0.098
20169734,QUEENS,11420,06/09/2020,06/11/2020,1,0.212
20169989,STATEN ISLAND,10312,06/09/2020,06/19/2020,13,0.125
20170082,STATEN ISLAND,10308,06/09/2020,06/15/2020,0,0.114
20170059,QUEENS,11358,06/09/2020,06/11/2020,4,0.155
20170085,STATEN ISLAND,10309,06/09/2020,06/11/2020,0,0.122
20170129,STATEN ISLAND,10309,06/09/2020,06/11/2020,0,0.128
20169871,QUEENS,11361,06/09/2020,06/12/2020,4,0.122
20170107,QUEENS,11354,06/09/2020,06/12/2020,1,0.208
20169885,STATEN ISLAND,10309,06/09/2020,06/11/2020,39,0.103
20169729,QUEENS,11361,06/10/2020,06/12/2020,0,0.138
20169741,STATEN ISLAND,10308,06/10/2020,06/15/2020,0,0.091
20170083,QUEENS,11358,06/10/2020,06/12/2020,0,0.176
20169752,BRONX,10470,06/10/2020,06/12/2020,5,0.105
20169856,BROOKLYN,11213,06/10/2020,06/15/2020,6,0.121
20170049,BROOKLYN,11224,06/10/2020,06/17/2020,2,0.217
20170125,STATEN ISLAND,10312,06/10/2020,06/15/2020,1,0.116
20170022,STATEN ISLAND,10306,06/10/2020,06/15/2020,0,0.034
20169719,BROOKLYN,11229,06/10/2020,06/22/2020,11,0.084
20169815,QUEENS,11379,06/10/2020,06/15/2020,113,0.199
20169785,QUEENS,11428,06/10/2020,06/12/2020,9,0.089
20169905,BROOKLYN,11229,06/10/2020,06/15/2020,12,0.102
20169828,STATEN ISLAND,10312,06/10/2020,06/15/2020,87,0.102
20169812,BROOKLYN,11224,06/10/2020,06/15/2020,0,0.164
20170036,STATEN ISLAND,10306,06/10/2020,06/15/2020,0,0.163
20170089,BROOKLYN,11212,06/10/2020,06/17/2020,0,0.044
20170097,BROOKLYN,11234,06/10/2020,06/16/2020,0,0.15
20170118,STATEN ISLAND,10305,06/10/2020,06/12/2020,0,0.162
20169968,QUEENS,11354,06/10/2020,06/15/2020,5,0.186
20169691,STATEN ISLAND,10303,06/10/2020,06/17/2020,0,0.15
20169960,BROOKLYN,11234,06/10/2020,06/12/2020,9,0.117
20170014,QUEENS,11435,06/10/2020,06/12/2020,1,0.123
20170040,BROOKLYN,11212,06/10/2020,06/15/2020,3,0.098
20169886,STATEN ISLAND,10309,06/10/2020,06/15/2020,0,0.023
20170034,STATEN ISLAND,10309,06/10/2020,06/15/2020,1,0.14
20170093,BROOKLYN,11212,06/10/2020,06/15/2020,1,0.183
20169994,STATEN ISLAND,10309,06/10/2020,06/15/2020,2,0.177
20170047,QUEENS,11373,06/10/2020,06/12/2020,10,0.138
20169695,STATEN ISLAND,10314,06/10/2020,06/11/2020,0,0.108
20169873,QUEENS,11363,06/11/2020,06/15/2020,0,0.161
20169811,BROOKLYN,11203,06/11/2020,06/15/2020,3,0.121
20169852,BROOKLYN,11216,06/11/2020,06/17/2020,4,0.188
20169789,STATEN ISLAND,10301,06/11/2020,06/15/2020,21,0.1
20169845,STATEN ISLAND,10312,06/11/2020,06/15/2020,0,0.11
20170108,QUEENS,11417,06/11/2020,06/15/2020,4,0.165
20170042,BROOKLYN,11217,06/11/2020,06/17/2020,2,0.078
20170139,BROOKLYN,11223,06/11/2020,06/16/2020,21,0.102
20170064,QUEENS,11374,06/11/2020,06/15/2020,11,0.143
20169704,STATEN ISLAND,10309,06/11/2020,06/15/2020,0,0.139
